name;ingameName;description;defaultValue;category;subcategory;min;max
mm_dedicated_search_maxping;Max Acceptable Ping for Matchmaking;Allows you to specify max acceptable matchmaking ping when searching for a game on official matchmaking servers. If there are official servers satisfying your ping setting then official matchmaking will always put you in a match hosted on those servers. If there are no official servers near you satisfying your ping setting then official matchmaking will put you in a match hosted on the next nearest official server, latency to which may exceed your ping setting.;50;GAME;Game;25;350
ui_steam_overlay_notification_position_horz;Community Notification Horizontal Offset;Sets the horizontal offset of the Steam Community notification in the HUD;0;GAME;Hud;0;100
ui_steam_overlay_notification_position_vert;Community Notification Vertical Offset;Sets the vertical offset of the Steam Community notification in the HUD;0;GAME;Hud;0;100
volume;Master Volume;Sets the master volume of the game;100;AUDIO;Audio;0;100
snd_menumap_volume;Main Menu Ambience Volume;Sets the volume of the main menu ambiance;100;AUDIO;Audio;0;100
snd_spatialize_lerp;L/R Isolation;*0% - Physically Accurate:* Physically modeled sound panning behavior most accurately reflecting the emitter position. \n *100% - Isolated L/R:* Sound emitters that are directly to the side of the player will be hard panned with minimal blending into the opposite L/R channel. This provides a strong sense of left vs right but can be positionally misleading at certain angles to the listener. For players who prefer legacy sound panning behavior.;0;AUDIO;Audio;0;100
snd_voipvolume;Other Player Voice Volume;Sets the volume of other players' voice chat;100;AUDIO;Voice;0;100
voice_threshold;Microphone Trigger Threshold;Sets the microphone trigger threshold for voice chat;-120;AUDIO;Voice;-120;0
snd_menumusic_volume;Main Menu Volume;Sets the volume of the main menu music;100;AUDIO;Music;0;20
snd_roundstart_volume;Round Start Volume;Sets the volume of the round start sound;0;AUDIO;Music;0;100
snd_roundaction_volume;Round Action Volume;Sets the volume of the round action sound;0;AUDIO;Music;0;100
snd_roundend_volume;Round End Volume;Sets the volume of the round end sound;40;AUDIO;Music;0;100
snd_mvp_volume;MVP Volume;Sets the volume of the MVP song;40;AUDIO;Music;0;100
snd_mapobjective_volume;Bomb/Hostage Volume;Sets the volume of the map objective sound;20;AUDIO;Music;0;100
snd_tensecondwarning_volume;Ten Second Warning Volume;Sets the volume of the 10 second warning sound;20;AUDIO;Music;0;100
snd_deathcamera_volume;Death Camera Volume;Sets the volume of the death camera sound;40;AUDIO;Music;0;100
snd_surf_volume_inair;Wind sound volume (surf);The volume of the wind when surfing;70;AUDIO;Surf;0;100
snd_surf_volume_map;Ambient sound volume (surf);The volumme of the ambient sounds when surfing is enabled;55;AUDIO;Surf;0;100
snd_surf_volume_slide;Sliding sound volume (surf);The volume of sliding along surfaces when surfing;70;AUDIO;Surf;0;100
viewmodel_fov;Viewmodel Field of View;Sets the field of view for the viewmodel, most people use 68 (max);60;GAME;Viewmodel;54;68
